Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
.,com.ViverBemApp.viverBem.repository,SendNotificationEmailRepository,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.ViverBemApp.viverBem.domain.Consulta
.,com.ViverBemApp.viverBem.controller,SendNotificationEmailController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.ViverBemApp.viverBem.JavaMailApp; com.ViverBemApp.viverBem.domain.Consulta
.,com.ViverBemApp.viverBem.service,SendNotificationEmailService,Law of Demeter violation,The tool detected the smell in this method (sendNotificationEmail) because the method voilates the law of Demeter. The long chain of method invocations is : com.ViverBemApp.viverBem.domain.Consulta.getMedico; com.ViverBemApp.viverBem.domain.Medico.getNome
